Date,Country/Region,Confirmed,Recovered,Deaths,Daily New Case,Daily Recovered Case,Daily Death Case
2020-01-22,Malaysia,0,0,0,0,0,0
2020-01-23,Malaysia,0,0,0,0,0,0
2020-01-24,Malaysia,0,0,0,0,0,0
2020-01-25,Malaysia,3,0,0,3,0,0
2020-01-26,Malaysia,4,0,0,1,0,0
2020-01-27,Malaysia,4,0,0,0,0,0
2020-01-28,Malaysia,4,0,0,0,0,0
2020-01-29,Malaysia,7,0,0,3,0,0
2020-01-30,Malaysia,8,0,0,1,0,0
2020-01-31,Malaysia,8,0,0,0,0,0
2020-02-01,Malaysia,8,0,0,0,0,0
2020-02-02,Malaysia,8,0,0,0,0,0
2020-02-03,Malaysia,8,0,0,0,0,0
2020-02-04,Malaysia,10,0,0,2,0,0
2020-02-05,Malaysia,12,0,0,2,0,0
2020-02-06,Malaysia,12,0,0,0,0,0
2020-02-07,Malaysia,12,1,0,0,1,0
2020-02-08,Malaysia,16,1,0,4,0,0
2020-02-09,Malaysia,16,1,0,0,0,0
2020-02-10,Malaysia,18,1,0,2,0,0
2020-02-11,Malaysia,18,3,0,0,2,0
2020-02-12,Malaysia,18,3,0,0,0,0
2020-02-13,Malaysia,19,3,0,1,0,0
2020-02-14,Malaysia,19,3,0,0,0,0
2020-02-15,Malaysia,22,7,0,3,4,0
2020-02-16,Malaysia,22,7,0,0,0,0
2020-02-17,Malaysia,22,7,0,0,0,0
2020-02-18,Malaysia,22,13,0,0,6,0
2020-02-19,Malaysia,22,15,0,0,2,0
2020-02-20,Malaysia,22,15,0,0,0,0
2020-02-21,Malaysia,22,15,0,0,0,0
2020-02-22,Malaysia,22,15,0,0,0,0
2020-02-23,Malaysia,22,15,0,0,0,0
2020-02-24,Malaysia,22,18,0,0,3,0
2020-02-25,Malaysia,22,18,0,0,0,0
2020-02-26,Malaysia,22,18,0,0,0,0
2020-02-27,Malaysia,23,18,0,1,0,0
2020-02-28,Malaysia,23,18,0,0,0,0
2020-02-29,Malaysia,25,18,0,2,0,0
2020-03-01,Malaysia,29,18,0,4,0,0
2020-03-02,Malaysia,29,18,0,0,0,0
2020-03-03,Malaysia,36,22,0,7,4,0
2020-03-04,Malaysia,50,22,0,14,0,0
2020-03-05,Malaysia,50,22,0,0,0,0
2020-03-06,Malaysia,83,22,0,33,0,0
2020-03-07,Malaysia,93,23,0,10,1,0
2020-03-08,Malaysia,99,24,0,6,1,0
2020-03-09,Malaysia,117,24,0,18,0,0
2020-03-10,Malaysia,129,24,0,12,0,0
2020-03-11,Malaysia,149,26,0,20,2,0
2020-03-12,Malaysia,149,26,0,0,0,0
2020-03-13,Malaysia,197,26,0,48,0,0
2020-03-14,Malaysia,238,35,0,41,9,0
2020-03-15,Malaysia,428,42,0,190,7,0
2020-03-16,Malaysia,566,42,0,138,0,0
2020-03-17,Malaysia,673,49,2,107,7,2
2020-03-18,Malaysia,790,60,2,117,11,0
2020-03-19,Malaysia,900,75,2,110,15,0
2020-03-20,Malaysia,1030,87,3,130,12,1
2020-03-21,Malaysia,1183,114,4,153,27,1
2020-03-22,Malaysia,1306,139,10,123,25,6
2020-03-23,Malaysia,1518,139,14,212,0,4
2020-03-24,Malaysia,1624,183,16,106,44,2
2020-03-25,Malaysia,1796,199,20,172,16,4
2020-03-26,Malaysia,2031,215,23,235,16,3
2020-03-27,Malaysia,2161,259,26,130,44,3
2020-03-28,Malaysia,2320,320,27,159,61,1
2020-03-29,Malaysia,2470,388,35,150,68,8
2020-03-30,Malaysia,2626,479,37,156,91,2
2020-03-31,Malaysia,2766,537,43,140,58,6
2020-04-01,Malaysia,2908,645,45,142,108,2
2020-04-02,Malaysia,3116,767,50,208,122,5
2020-04-03,Malaysia,3333,827,53,217,60,3
2020-04-04,Malaysia,3483,915,57,150,88,4
2020-04-05,Malaysia,3662,1005,61,179,90,4
2020-04-06,Malaysia,3793,1241,62,131,236,1
2020-04-07,Malaysia,3963,1321,63,170,80,1
2020-04-08,Malaysia,4119,1487,65,156,166,2
2020-04-09,Malaysia,4228,1608,67,109,121,2
2020-04-10,Malaysia,4346,1830,70,118,222,3
2020-04-11,Malaysia,4530,1995,73,184,165,3
2020-04-12,Malaysia,4683,2108,76,153,113,3
2020-04-13,Malaysia,4817,2276,77,134,168,1
2020-04-14,Malaysia,4987,2478,82,170,202,5
2020-04-15,Malaysia,5072,2647,83,85,169,1
2020-04-16,Malaysia,5182,2766,84,110,119,1
2020-04-17,Malaysia,5251,2967,86,69,201,2
2020-04-18,Malaysia,5305,3102,88,54,135,2
2020-04-19,Malaysia,5389,3197,89,84,95,1
2020-04-20,Malaysia,5425,3295,89,36,98,0
2020-04-21,Malaysia,5482,3349,92,57,54,3
2020-04-22,Malaysia,5532,3452,93,50,103,1
2020-04-23,Malaysia,5603,3542,95,71,90,2
2020-04-24,Malaysia,5691,3663,96,88,121,1
2020-04-25,Malaysia,5742,3762,98,51,99,2
2020-04-26,Malaysia,5780,3862,98,38,100,0
2020-04-27,Malaysia,5820,3957,99,40,95,1
2020-04-28,Malaysia,5851,4032,100,31,75,1
2020-04-29,Malaysia,5945,4087,100,94,55,0
2020-04-30,Malaysia,6002,4171,102,57,84,2
2020-05-01,Malaysia,6071,4210,103,69,39,1
2020-05-02,Malaysia,6176,4326,103,105,116,0
2020-05-03,Malaysia,6298,4413,105,122,87,2
2020-05-04,Malaysia,6353,4484,105,55,71,0
2020-05-05,Malaysia,6383,4567,106,30,83,1
2020-05-06,Malaysia,6428,4702,107,45,135,1
2020-05-07,Malaysia,6467,4776,107,39,74,0
2020-05-08,Malaysia,6535,4864,107,68,88,0
2020-05-09,Malaysia,6589,4929,108,54,65,1
2020-05-10,Malaysia,6656,5025,108,67,96,0
2020-05-11,Malaysia,6726,5113,109,70,88,1
2020-05-12,Malaysia,6742,5223,109,16,110,0
2020-05-13,Malaysia,6779,5281,111,37,58,2
2020-05-14,Malaysia,6819,5351,112,40,70,1
2020-05-15,Malaysia,6855,5439,112,36,88,0
2020-05-16,Malaysia,6872,5512,113,17,73,1
2020-05-17,Malaysia,6894,5571,113,22,59,0
2020-05-18,Malaysia,6941,5615,113,47,44,0
2020-05-19,Malaysia,6978,5646,114,37,31,1
2020-05-20,Malaysia,7009,5706,114,31,60,0
2020-05-21,Malaysia,7059,5796,114,50,90,0
2020-05-22,Malaysia,7137,5859,115,78,63,1
2020-05-23,Malaysia,7185,5912,115,48,53,0
2020-05-24,Malaysia,7245,5945,115,60,33,0
2020-05-25,Malaysia,7417,5979,115,172,34,0
2020-05-26,Malaysia,7604,6041,115,187,62,0
2020-05-27,Malaysia,7619,6083,115,15,42,0
2020-05-28,Malaysia,7629,6169,115,10,86,0
2020-05-29,Malaysia,7732,6235,115,103,66,0
2020-05-30,Malaysia,7762,6330,115,30,95,0
2020-05-31,Malaysia,7819,6353,115,57,23,0
2020-06-01,Malaysia,7857,6404,115,38,51,0
2020-06-02,Malaysia,7877,6470,115,20,66,0
2020-06-03,Malaysia,7970,6531,115,93,61,0
2020-06-04,Malaysia,8247,6559,115,277,28,0
2020-06-05,Malaysia,8266,6610,116,19,51,1
2020-06-06,Malaysia,8303,6635,117,37,25,1
2020-06-07,Malaysia,8322,6674,117,19,39,0
2020-06-08,Malaysia,8329,6694,117,7,20,0
2020-06-09,Malaysia,8336,6975,117,7,281,0
2020-06-10,Malaysia,8338,7014,118,2,39,1
2020-06-11,Malaysia,8369,7065,118,31,51,0
2020-06-12,Malaysia,8402,7168,119,33,103,1
2020-06-13,Malaysia,8445,7311,120,43,143,1
2020-06-14,Malaysia,8453,7346,121,8,35,1
2020-06-15,Malaysia,8494,7400,121,41,54,0
2020-06-16,Malaysia,8505,7733,121,11,333,0
2020-06-17,Malaysia,8515,7873,121,10,140,0
2020-06-18,Malaysia,8529,8000,121,14,127,0
2020-06-19,Malaysia,8535,8070,121,6,70,0
2020-06-20,Malaysia,8556,8146,121,21,76,0
2020-06-21,Malaysia,8572,8156,121,16,10,0
2020-06-22,Malaysia,8587,8177,121,15,21,0
2020-06-23,Malaysia,8590,8186,121,3,9,0
2020-06-24,Malaysia,8596,8231,121,6,45,0
2020-06-25,Malaysia,8600,8271,121,4,40,0
2020-06-26,Malaysia,8606,8294,121,6,23,0
2020-06-27,Malaysia,8616,8308,121,10,14,0
2020-06-28,Malaysia,8634,8318,121,18,10,0
2020-06-29,Malaysia,8637,8334,121,3,16,0
2020-06-30,Malaysia,8639,8354,121,2,20,0
2020-07-01,Malaysia,8640,8375,121,1,21,0
2020-07-02,Malaysia,8643,8437,121,3,62,0
2020-07-03,Malaysia,8648,8446,121,5,9,0
2020-07-04,Malaysia,8658,8461,121,10,15,0
2020-07-05,Malaysia,8663,8465,121,5,4,0
2020-07-06,Malaysia,8668,8476,121,5,11,0
2020-07-07,Malaysia,8674,8481,121,6,5,0
2020-07-08,Malaysia,8677,8486,121,3,5,0
2020-07-09,Malaysia,8683,8499,121,6,13,0
2020-07-10,Malaysia,8696,8511,121,13,12,0
2020-07-11,Malaysia,8704,8515,122,8,4,1
2020-07-12,Malaysia,8718,8519,122,14,4,0
2020-07-13,Malaysia,8725,8520,122,7,1,0
2020-07-14,Malaysia,8729,8524,122,4,4,0
2020-07-15,Malaysia,8734,8526,122,5,2,0
2020-07-16,Malaysia,8737,8538,122,3,12,0
2020-07-17,Malaysia,8755,8541,122,18,3,0
2020-07-18,Malaysia,8764,8546,122,9,5,0
2020-07-19,Malaysia,8779,8553,123,15,7,1
2020-07-20,Malaysia,8800,8555,123,21,2,0
2020-07-21,Malaysia,8815,8562,123,15,7,0
2020-07-22,Malaysia,8831,8566,123,16,4,0
2020-07-23,Malaysia,8840,8574,123,9,8,0
2020-07-24,Malaysia,8861,8577,123,21,3,0
2020-07-25,Malaysia,8884,8594,123,23,17,0
2020-07-26,Malaysia,8897,8600,124,13,6,1
2020-07-27,Malaysia,8904,8601,124,7,1,0
2020-07-28,Malaysia,8943,8607,124,39,6,0
2020-07-29,Malaysia,8956,8612,124,13,5,0
2020-07-30,Malaysia,8964,8617,124,8,5,0
2020-07-31,Malaysia,8976,8644,125,12,27,1
2020-08-01,Malaysia,8985,8647,125,9,3,0
2020-08-02,Malaysia,8999,8664,125,14,17,0
2020-08-03,Malaysia,9001,8668,125,2,4,0
2020-08-04,Malaysia,9002,8684,125,1,16,0
2020-08-05,Malaysia,9023,8702,125,21,18,0
2020-08-06,Malaysia,9038,8713,125,15,11,0
2020-08-07,Malaysia,9063,8728,125,25,15,0
2020-08-08,Malaysia,9070,8775,125,7,47,0
2020-08-09,Malaysia,9083,8784,125,13,9,0
2020-08-10,Malaysia,9094,8803,125,11,19,0
2020-08-11,Malaysia,9103,8809,125,9,6,0
2020-08-12,Malaysia,9114,8817,125,11,8,0
2020-08-13,Malaysia,9129,8821,125,15,4,0
2020-08-14,Malaysia,9149,8828,125,20,7,0
2020-08-15,Malaysia,9175,8831,125,26,3,0
2020-08-16,Malaysia,9200,8859,125,25,28,0
2020-08-17,Malaysia,9212,8876,125,12,17,0
2020-08-18,Malaysia,9219,8902,125,7,26,0
2020-08-19,Malaysia,9235,8925,125,16,23,0
2020-08-20,Malaysia,9240,8932,125,5,7,0
2020-08-21,Malaysia,9249,8945,125,9,13,0
2020-08-22,Malaysia,9257,8949,125,8,4,0
2020-08-23,Malaysia,9267,8959,125,10,10,0
2020-08-24,Malaysia,9274,8965,125,7,6,0
2020-08-25,Malaysia,9285,8971,125,11,6,0
2020-08-26,Malaysia,9291,8978,125,6,7,0
2020-08-27,Malaysia,9296,8994,125,5,16,0
2020-08-28,Malaysia,9306,9030,125,10,36,0
2020-08-29,Malaysia,9317,9038,125,11,8,0
2020-08-30,Malaysia,9334,9048,126,17,10,1
2020-08-31,Malaysia,9340,9054,127,6,6,1
2020-09-01,Malaysia,9354,9075,128,14,21,1
2020-09-02,Malaysia,9360,9079,128,6,4,0
2020-09-03,Malaysia,9374,9083,128,14,4,0
2020-09-04,Malaysia,9385,9092,128,11,9,0
2020-09-05,Malaysia,9391,9113,128,6,21,0
2020-09-06,Malaysia,9397,9115,128,6,2,0
2020-09-07,Malaysia,9459,9124,128,62,9,0
2020-09-08,Malaysia,9559,9136,128,100,12,0
2020-09-09,Malaysia,9583,9143,128,24,7,0
2020-09-10,Malaysia,9628,9167,128,45,24,0
2020-09-11,Malaysia,9810,9181,128,182,14,0
2020-09-12,Malaysia,9868,9189,128,58,8,0
2020-09-13,Malaysia,9915,9196,128,47,7,0
2020-09-14,Malaysia,9946,9203,128,31,7,0
2020-09-15,Malaysia,9969,9209,128,23,6,0
2020-09-16,Malaysia,10031,9235,128,62,26,0
2020-09-17,Malaysia,10052,9250,128,21,15,0
2020-09-18,Malaysia,10147,9264,129,95,14,1
2020-09-19,Malaysia,10167,9315,130,20,51,1
2020-09-20,Malaysia,10219,9355,130,52,40,0
2020-09-21,Malaysia,10276,9395,130,57,40,0
2020-09-22,Malaysia,10358,9563,130,82,168,0
2020-09-23,Malaysia,10505,9602,133,147,39,3
2020-09-24,Malaysia,10576,9666,133,71,64,0
2020-09-25,Malaysia,10687,9696,133,111,30,0
2020-09-26,Malaysia,10769,9785,133,82,89,0
2020-09-27,Malaysia,10919,9835,134,150,50,1
2020-09-28,Malaysia,11034,9889,134,115,54,0
2020-09-29,Malaysia,11135,9939,134,101,50,0
2020-09-30,Malaysia,11224,9967,136,89,28,2
2020-10-01,Malaysia,11484,10014,136,260,47,0
2020-10-02,Malaysia,11771,10095,136,287,81,0
2020-10-03,Malaysia,12088,10216,137,317,121,1
2020-10-04,Malaysia,12381,10283,137,293,67,0
2020-10-05,Malaysia,12813,10340,137,432,57,0
2020-10-06,Malaysia,13504,10427,141,691,87,4
2020-10-07,Malaysia,13993,10501,141,489,74,0
2020-10-08,Malaysia,14368,10519,146,375,18,5
2020-10-09,Malaysia,14722,10707,152,354,188,6
2020-10-10,Malaysia,15096,10780,155,374,73,3
2020-10-11,Malaysia,15657,10913,157,561,133,2
2020-10-12,Malaysia,16220,11022,159,563,109,2
2020-10-13,Malaysia,16880,11372,163,660,350,4
2020-10-14,Malaysia,17540,11605,167,660,233,4
2020-10-15,Malaysia,18129,12014,170,589,409,3
2020-10-16,Malaysia,18758,12259,176,629,245,6
2020-10-17,Malaysia,19627,12561,180,869,302,4
2020-10-18,Malaysia,20498,13262,187,871,701,7
2020-10-19,Malaysia,21363,13717,190,865,455,3
2020-10-20,Malaysia,22225,14351,193,862,634,3
2020-10-21,Malaysia,22957,14931,199,732,580,6
2020-10-22,Malaysia,23804,15417,204,847,486,5
2020-10-23,Malaysia,24514,15884,214,710,467,10
2020-10-24,Malaysia,25742,16555,221,1228,671,7
2020-10-25,Malaysia,26565,17134,229,823,579,8
2020-10-26,Malaysia,27805,17825,236,1240,691,7
2020-10-27,Malaysia,28640,18499,238,835,674,2
2020-10-28,Malaysia,29441,19072,246,801,573,8
2020-10-29,Malaysia,30090,19757,246,649,685,0
2020-10-30,Malaysia,30889,20248,249,799,491,3
2020-10-31,Malaysia,31548,21248,249,659,1000,0
2020-11-01,Malaysia,32505,22220,249,957,972,0
2020-11-02,Malaysia,33339,23120,251,834,900,2
2020-11-03,Malaysia,34393,23995,263,1054,875,12
2020-11-04,Malaysia,35425,24815,271,1032,820,8
2020-11-05,Malaysia,36434,25654,277,1009,839,6
2020-11-06,Malaysia,38189,26380,279,1755,726,2
2020-11-07,Malaysia,39357,27409,282,1168,1029,3
2020-11-08,Malaysia,40209,28234,286,852,825,4
2020-11-09,Malaysia,41181,29579,294,972,1345,8
2020-11-10,Malaysia,42050,30304,300,869,725,6
2020-11-11,Malaysia,42872,31073,302,822,769,2
2020-11-12,Malaysia,43791,32069,303,919,996,1
2020-11-13,Malaysia,45095,32969,304,1304,900,1
2020-11-14,Malaysia,46209,33772,306,1114,803,2
2020-11-15,Malaysia,47417,34785,309,1208,1013,3
2020-11-16,Malaysia,48520,35606,313,1103,821,4
2020-11-17,Malaysia,49730,36624,318,1210,1018,5
2020-11-18,Malaysia,50390,37254,322,660,630,4
2020-11-19,Malaysia,51680,38132,326,1290,878,4
2020-11-20,Malaysia,52638,39088,329,958,956,3
2020-11-21,Malaysia,53679,40493,332,1041,1405,3
2020-11-22,Malaysia,54775,41597,335,1096,1104,3
2020-11-23,Malaysia,56659,42480,337,1884,883,2
2020-11-24,Malaysia,58847,44153,341,2188,1673,4
2020-11-25,Malaysia,59817,46501,345,970,2348,4
2020-11-26,Malaysia,60752,49056,348,935,2555,3
2020-11-27,Malaysia,61861,50204,350,1109,1148,2
2020-11-28,Malaysia,63176,51314,354,1315,1110,4
2020-11-29,Malaysia,64485,52647,357,1309,1333,3
2020-11-30,Malaysia,65697,54759,360,1212,2112,3
2020-12-01,Malaysia,67169,56311,363,1472,1552,3
2020-12-02,Malaysia,68020,56969,365,851,658,2
2020-12-03,Malaysia,69095,57917,376,1075,948,11
2020-12-04,Malaysia,70236,59061,376,1141,1144,0
2020-12-05,Malaysia,71359,60204,380,1123,1143,4
2020-12-06,Malaysia,72694,61273,382,1335,1069,2
2020-12-07,Malaysia,74294,62306,384,1600,1033,2
2020-12-08,Malaysia,75306,64056,388,1012,1750,4
2020-12-09,Malaysia,76265,65124,393,959,1068,5
2020-12-10,Malaysia,78499,66236,396,2234,1112,3
2020-12-11,Malaysia,80309,67173,402,1810,937,6
2020-12-12,Malaysia,82246,68084,411,1937,911,9
2020-12-13,Malaysia,83475,69393,415,1229,1309,4
2020-12-14,Malaysia,84846,70597,419,1371,1204,4
2020-12-15,Malaysia,86618,71681,422,1772,1084,3
2020-12-16,Malaysia,87913,72733,429,1295,1052,7
2020-12-17,Malaysia,89133,74030,432,1220,1297,3
2020-12-18,Malaysia,90816,75244,432,1683,1214,0
2020-12-19,Malaysia,91969,76242,433,1153,998,1
2020-12-20,Malaysia,93309,77309,437,1340,1067,4
2020-12-21,Malaysia,95327,78393,438,2018,1084,1
2020-12-22,Malaysia,97389,79304,439,2062,911,1
2020-12-23,Malaysia,98737,80014,444,1348,710,5
2020-12-24,Malaysia,100318,81099,446,1581,1085,2
2020-12-25,Malaysia,101565,82540,449,1247,1441,3
2020-12-26,Malaysia,103900,83414,451,2335,874,2
2020-12-27,Malaysia,105096,84411,452,1196,997,1
2020-12-28,Malaysia,106690,85592,455,1594,1181,3
2020-12-29,Malaysia,108615,86715,457,1925,1123,2
2020-12-30,Malaysia,110485,87460,463,1870,745,6
2020-12-31,Malaysia,113010,88941,471,2525,1481,8
