Date,New Case,Recovered,Death,ICU,Daily New Case ,Daily Recovered Case,Daily Death Case
24/01/2020,0,0,0,0,0,0,0
25/01/2020,3,0,0,0,3,0,0
26/01/2020,4,0,0,0,1,0,0
27/01/2020,4,0,0,0,0,0,0
28/01/2020,4,0,0,0,0,0,0
29/01/2020,7,0,0,0,3,0,0
30/01/2020,8,0,0,0,1,0,0
31/01/2020,8,0,0,0,0,0,0
1/2/2020,8,0,0,0,0,0,0
2/2/2020,8,0,0,0,0,0,0
3/2/2020,8,0,0,0,0,0,0
4/2/2020,10,0,0,0,2,0,0
5/2/2020,12,1,0,0,2,1,0
6/2/2020,12,1,0,0,0,0,0
7/2/2020,12,1,0,0,0,0,0
8/2/2020,16,2,0,0,4,1,0
9/2/2020,16,3,0,0,0,1,0
10/2/2020,18,3,0,0,2,0,0
11/2/2020,18,3,0,0,0,0,0
12/2/2020,18,3,0,0,0,0,0
13/02/2020,19,3,0,0,1,0,0
14/02/2020,19,7,0,0,0,4,0
15/02/2020,22,7,0,0,3,0,0
16/02/2020,22,8,0,0,0,1,0
17/02/2020,22,9,0,0,0,1,0
18/02/2020,22,11,0,0,0,2,0
19/02/2020,22,15,0,0,0,4,0
20/02/2020,22,17,0,0,0,2,0
21/02/2020,22,17,0,0,0,0,0
22/02/2020,22,17,0,0,0,0,0
23/02/2020,22,18,0,0,0,1,0
24/02/2020,22,20,0,0,0,2,0
25/02/2020,22,20,0,0,0,0,0
26/02/2020,22,20,0,0,0,0,0
27/02/2020,23,22,0,0,1,2,0
28/02/2020,23,22,0,0,0,0,0
29/02/2020,25,22,0,0,2,0,0
1/3/2020,29,22,0,0,4,0,0
2/3/2020,29,22,0,0,0,0,0
3/3/2020,36,22,0,0,7,0,0
4/3/2020,50,22,0,0,14,0,0
5/3/2020,50,22,0,0,0,0,0
6/3/2020,83,22,0,0,33,0,0
7/3/2020,93,23,0,0,10,1,0
8/3/2020,99,24,0,2,6,1,0
9/3/2020,117,24,0,2,18,0,0
10/3/2020,129,25,0,2,12,1,0
11/3/2020,149,26,0,2,20,1,0
12/3/2020,158,32,0,3,9,6,0
13/03/2020,197,32,0,4,39,0,0
14/03/2020,238,35,0,5,41,3,0
15/03/2020,428,42,0,9,190,7,0
16/03/2020,553,42,0,12,125,0,0
17/03/2020,673,49,2,12,120,7,2
18/03/2020,790,60,2,15,117,11,0
19/03/2020,900,75,2,20,110,15,0
20/03/2020,1030,87,2,26,130,12,0
21/03/2020,1183,114,4,37,153,27,2
22/03/2020,1306,139,10,46,123,25,6
23/03/2020,1518,159,14,57,212,20,4
24/03/2020,1624,183,16,64,106,24,2
25/03/2020,1796,199,19,45,172,16,3
26/03/2020,2031,215,23,45,235,16,4
27/03/2020,2161,259,26,54,130,44,3
28/03/2020,2320,320,27,73,159,61,1
29/03/2020,2470,388,34,73,150,68,7
30/03/2020,2626,479,37,94,156,91,3
31/03/2020,2766,537,43,94,140,58,6
1/4/2020,2908,645,45,102,142,108,2
2/4/2020,3116,767,50,105,208,122,5
3/4/2020,3333,827,53,108,217,60,3
4/4/2020,3483,915,57,99,150,88,4
5/4/2020,3662,1005,61,99,179,90,4
6/4/2020,3793,1241,62,102,131,236,1
7/4/2020,3963,1321,63,92,170,80,1
8/4/2020,4119,1487,65,76,156,166,2
9/4/2020,4228,1608,67,72,109,121,2
10/4/2020,4346,1830,70,69,118,222,3
11/4/2020,4530,1995,73,72,184,165,3
12/4/2020,4683,2108,76,66,153,113,3
13/04/2020,4817,2276,77,66,134,168,1
14/04/2020,4987,2478,82,60,170,202,5
15/04/2020,5072,2647,83,56,85,169,1
16/04/2020,5182,2766,84,56,110,119,1
17/04/2020,5251,2967,86,51,69,201,2
18/04/2020,5305,3102,88,49,54,135,2
19/04/2020,5389,3197,89,46,84,95,1
20/04/2020,5425,3295,89,45,36,98,0
21/04/2020,5482,3349,92,43,57,54,3
22/04/2020,5532,3452,93,43,50,103,1
23/04/2020,5603,3542,95,42,71,90,2
24/04/2020,5691,3663,96,41,88,121,1
25/04/2020,5742,3762,98,36,51,99,2
26/04/2020,5780,3862,98,36,38,100,0
27/04/2020,5820,3957,99,37,40,95,1
28/04/2020,5851,4032,100,36,31,75,1
29/04/2020,5945,4087,100,40,94,55,0
30/04/2020,6002,4171,102,36,57,84,2
1/5/2020,6071,4210,103,37,69,39,1
2/5/2020,6176,4326,103,31,105,116,0
3/5/2020,6298,4413,105,27,122,87,2
4/5/2020,6353,4484,105,28,55,71,0
5/5/2020,6383,4567,106,24,30,83,1
6/5/2020,6428,4702,107,22,45,135,1
7/5/2020,6467,4776,107,19,39,74,0
8/5/2020,6535,4864,107,18,68,88,0
9/5/2020,6589,4929,108,18,54,65,1
10/5/2020,6656,5025,108,18,67,96,0
11/5/2020,6726,5113,109,20,70,88,1
12/5/2020,6742,5223,109,16,16,110,0
13/05/2020,6779,5281,111,16,37,58,2
14/05/2020,6819,5351,112,16,40,70,1
15/05/2020,6855,5439,112,14,36,88,0
16/05/2020,6872,5512,113,13,17,73,1
17/05/2020,6894,5571,113,13,22,59,0
18/05/2020,6941,5615,113,13,47,44,0
19/05/2020,6978,5646,114,11,37,31,1
20/05/2020,7009,5706,114,11,31,60,0
21/05/2020,7059,5796,114,10,50,90,0
22/05/2020,7137,5859,115,9,78,63,1
23/05/2020,7185,5912,115,9,48,53,0
24/05/2020,7245,5945,115,9,60,33,0
25/05/2020,7417,5979,115,8,172,34,0
26/05/2020,7604,6041,115,8,187,62,0
27/05/2020,7619,6083,115,8,15,42,0
28/05/2020,7629,6169,115,8,10,86,0
29/05/2020,7732,6235,115,8,103,66,0
30/05/2020,7762,6330,115,9,30,95,0
31/05/2020,7819,6353,115,9,57,23,0
1/6/2020,7857,6404,115,8,38,51,0
2/6/2020,7877,6470,115,6,20,66,0
3/6/2020,7970,6531,115,6,93,61,0
4/6/2020,8247,6559,115,6,277,28,0
5/6/2020,8266,6610,116,6,19,51,1
6/6/2020,8266,6610,116,6,0,0,0
7/6/2020,8322,6674,117,5,56,64,1
8/6/2020,8329,6694,117,6,7,20,0
9/6/2020,8336,6975,117,6,7,281,0
10/6/2020,8338,7014,118,5,2,39,1
11/6/2020,8369,7065,118,5,31,51,0
12/6/2020,8402,7168,119,4,33,103,1
13/06/2020,8445,7311,120,4,43,143,1
14/06/2020,8453,7346,121,4,8,35,1
15/06/2020,8494,7400,121,4,41,54,0
16/06/2020,8505,7733,121,4,11,333,0
17/06/2020,8515,7873,121,4,10,140,0
18/06/2020,8529,8000,121,4,14,127,0
19/06/2020,8535,8070,121,3,6,70,0
20/06/2020,8556,8146,121,3,21,76,0
21/06/2020,8572,8156,121,3,16,10,0
22/06/2020,8587,8177,121,3,15,21,0
23/06/2020,8590,8186,121,3,3,9,0
24/06/2020,8596,8231,121,2,6,45,0
25/06/2020,8600,8271,121,2,4,40,0
26/06/2020,8606,8294,121,2,6,23,0
27/06/2020,8616,8308,121,2,10,14,0
28/06/2020,8634,8318,121,2,18,10,0
29/06/2020,8637,8334,121,4,3,16,0
30/06/2020,8639,8354,121,4,2,20,0
1/7/2020,8640,8375,121,4,1,21,0
2/7/2020,8643,8437,121,2,3,62,0
3/7/2020,8648,8446,121,2,5,9,0
4/7/2020,8658,8461,121,2,10,15,0
5/7/2020,8663,8465,121,2,5,4,0
6/7/2020,8668,8476,121,2,5,11,0
7/7/2020,8674,8481,121,2,6,5,0
8/7/2020,8677,8486,121,2,3,5,0
9/7/2020,8683,8499,121,2,6,13,0
10/7/2020,8696,8511,121,2,13,12,0
11/7/2020,8704,8515,122,2,8,4,1
12/7/2020,8718,8519,122,3,14,4,0
13/07/2020,8725,8520,122,4,7,1,0
14/07/2020,8729,8524,122,6,4,4,0
15/07/2020,8734,8526,122,5,5,2,0
16/07/2020,8737,8538,122,3,3,12,0
17/07/2020,8755,8541,122,3,18,3,0
18/07/2020,8764,8546,122,1,9,5,0
19/07/2020,8779,8553,123,2,15,7,1
20/07/2020,8800,8555,123,3,21,2,0
21/07/2020,8815,8562,123,4,15,7,0
22/07/2020,8831,8566,123,5,16,4,0
23/07/2020,8840,8574,123,5,9,8,0
24/07/2020,8861,8577,123,5,21,3,0
25/07/2020,8884,8594,123,3,23,17,0
26/07/2020,8897,8600,124,2,13,6,1
27/07/2020,8904,8601,124,0,7,1,0
28/07/2020,8943,8607,124,1,39,6,0
29/07/2020,8956,8612,124,2,13,5,0
30/07/2020,8964,8617,124,3,8,5,0
31/07/2020,8976,8644,125,3,12,27,1
1/8/2020,8985,8647,125,2,9,3,0
2/8/2020,8999,8664,125,2,14,17,0
3/8/2020,9001,8668,125,1,2,4,0
4/8/2020,9002,8684,125,0,1,16,0
5/8/2020,9023,8702,125,2,21,18,0
6/8/2020,9038,8713,125,2,15,11,0
7/8/2020,9063,8728,125,2,25,15,0
8/8/2020,9070,8775,125,2,7,47,0
9/8/2020,9083,8784,125,1,13,9,0
10/8/2020,9094,8803,125,1,11,19,0
11/8/2020,9103,8809,125,2,9,6,0
12/8/2020,9114,8817,125,1,11,8,0
13/08/2020,9129,8821,125,2,15,4,0
14/08/2020,9149,8828,125,4,20,7,0
15/08/2020,9175,8831,125,6,26,3,0
16/08/2020,9200,8859,125,7,25,28,0
17/08/2020,9212,8876,125,8,12,17,0
18/08/2020,9219,8902,125,8,7,26,0
19/08/2020,9235,8925,125,7,16,23,0
20/08/2020,9240,8932,125,7,5,7,0
21/08/2020,9249,8945,125,7,9,13,0
22/08/2020,9257,8949,125,8,8,4,0
23/08/2020,9267,8959,125,9,10,10,0
24/08/2020,9274,8965,125,8,7,6,0
25/08/2020,9285,8971,125,8,11,6,0
26/08/2020,9291,8978,125,9,6,7,0
27/08/2020,9296,8994,125,8,5,16,0
28/08/2020,9306,9030,125,8,10,36,0
29/08/2020,9317,9038,125,8,11,8,0
30/08/2020,9334,9048,126,7,17,10,1
31/08/2020,9340,9054,127,6,6,6,1
1/9/2020,9354,9075,128,5,14,21,1
2/9/2020,9360,9079,128,4,6,4,0
3/9/2020,9374,9083,128,4,14,4,0
4/9/2020,9385,9092,128,4,11,9,0
5/9/2020,9391,9113,128,5,6,21,0
6/9/2020,9397,9115,128,6,6,2,0
7/9/2020,9459,9124,128,6,62,9,0
8/9/2020,9559,9136,128,7,100,12,0
9/9/2020,9583,9143,128,7,24,7,0
10/9/2020,9628,9167,128,9,45,24,0
11/9/2020,9810,9181,128,9,182,14,0
12/9/2020,9868,9189,128,9,58,8,0
13/09/2020,9915,9196,128,9,47,7,0
14/09/2020,9946,9203,128,11,31,7,0
15/09/2020,9969,9209,128,14,23,6,0
16/09/2020,10031,9235,128,15,62,26,0
17/09/2020,10052,9250,128,13,21,15,0
18/09/2020,10147,9264,129,11,95,14,1
19/09/2020,10167,9315,130,12,20,51,1
20/09/2020,10219,9355,130,10,52,40,0
21/09/2020,10276,9395,130,9,57,40,0
22/09/2020,10358,9563,130,9,82,168,0
23/09/2020,10505,9602,133,8,147,39,3
24/09/2020,10576,9666,133,6,71,64,0
25/09/2020,10687,9696,133,4,111,30,0
26/09/2020,10769,9785,133,8,82,89,0
27/09/2020,10919,9835,134,6,150,50,1
28/09/2020,11034,9889,134,8,115,54,0
29/09/2020,11135,9939,134,13,101,50,0
30/09/2020,11224,9967,136,16,89,28,2
1/10/2020,11484,10014,136,20,260,47,0
2/10/2020,11771,10095,136,22,287,81,0
3/10/2020,12088,10216,137,29,317,121,1
4/10/2020,12381,10283,137,28,293,67,0
5/10/2020,12813,10340,137,32,432,57,0
6/10/2020,13504,10427,141,31,691,87,4
7/10/2020,13993,10501,141,40,489,74,0
8/10/2020,14368,10519,146,60,375,18,5
9/10/2020,14722,10707,152,68,354,188,6
10/10/2020,15096,10780,155,73,374,73,3
11/10/2020,15657,10913,157,90,561,133,2
12/10/2020,16220,11022,159,98,563,109,2
13/10/2020,16880,11372,163,101,660,350,4
14/10/2020,17540,11605,167,108,660,233,4
15/10/2020,18129,12014,170,103,589,409,3
16/10/2020,18758,12259,176,99,629,245,6
17/10/2020,19627,12561,180,91,869,302,4
18/10/2020,20498,13262,187,86,871,701,7
19/10/2020,21363,13717,190,99,865,455,3
20/10/2020,22225,14351,193,95,862,634,3
21/10/2020,22957,14931,199,102,732,580,6
22/10/2020,23804,15417,204,90,847,486,5
23/10/2020,24514,15884,214,90,710,467,10
24/10/2020,25742,16555,221,92,1228,671,7
25/10/2020,26565,17134,229,99,823,579,8
26/10/2020,27805,17825,236,94,1240,691,7
27/10/2020,28640,18499,238,89,835,674,2
28/10/2020,29411,19072,246,94,771,573,8
29/10/2020,30090,19757,246,106,679,685,0
30/10/2020,30899,20248,249,90,809,491,3
31/10/2020,31548,21248,249,83,649,1000,0
1/11/2020,32505,22220,249,97,957,972,0
2/11/2020,33339,23120,251,91,834,900,2
3/11/2020,34393,23995,263,94,1054,875,12
4/11/2020,35425,24815,271,82,1032,820,8
5/11/2020,36434,25654,277,78,1009,839,6
6/11/2020,38189,26380,279,83,1755,726,2
7/11/2020,39357,27409,282,87,1168,1029,3
8/11/2020,40209,28234,286,94,852,825,4
9/11/2020,41181,29579,294,86,972,1345,8
10/11/2020,42050,30304,300,82,869,725,6
11/11/2020,42872,31073,302,86,822,769,2
12/11/2020,43791,32069,303,92,919,996,1
13/11/2020,45095,32969,304,96,1304,900,1
14/11/2020,46209,33772,306,103,1114,803,2
15/11/2020,47417,34785,309,104,1208,1013,3
16/11/2020,48520,35606,313,102,1103,821,4
17/11/2020,49730,36624,318,105,1210,1018,5
18/11/2020,50390,37254,322,103,660,630,4
19/11/2020,51680,38132,326,110,1290,878,4
20/11/2020,52638,39088,329,110,958,956,3
21/11/2020,53679,40493,332,108,1041,1405,3
22/11/2020,54775,41597,335,106,1096,1104,3
23/11/2020,56659,42480,337,115,1884,883,2
24/11/2020,58847,44153,341,112,2188,1673,4
25/11/2020,59817,46501,345,110,970,2348,4
26/11/2020,60752,49056,348,110,935,2555,3
27/11/2020,61861,50204,350,113,1109,1148,2
28/11/2020,63176,51314,354,118,1315,1110,4
29/11/2020,64485,52647,357,116,1309,1333,3
30/11/2020,65697,54759,360,113,1212,2112,3
1/12/2020,67169,56311,363,120,1472,1552,3
2/12/2020,68020,56969,365,122,851,658,2
3/12/2020,69095,57917,376,116,1075,948,11
4/12/2020,70236,59061,376,129,1141,1144,0
5/12/2020,71359,60204,380,130,1123,1143,4
6/12/2020,72694,61273,382,126,1335,1069,2
7/12/2020,74294,62306,384,129,1600,1033,2
8/12/2020,75306,64056,388,126,1012,1750,4
9/12/2020,76265,65124,393,127,959,1068,5
10/12/2020,78499,66236,396,274,2234,1112,3
11/12/2020,80309,67173,402,123,1810,937,6
12/12/2020,82246,68084,411,121,1937,911,9
13/12/2020,83475,69393,415,115,1229,1309,4
14/12/2020,84846,70597,419,114,1371,1204,4
15/12/2020,86618,71681,422,118,1772,1084,3
16/12/2020,87913,72733,429,113,1295,1052,7
17/12/2020,89133,74030,432,106,1220,1297,3
18/12/2020,90816,75244,432,106,1683,1214,0
19/12/2020,91969,76242,433,112,1153,998,1
20/12/2020,93309,77309,437,116,1340,1067,4
21/12/2020,95327,78393,438,109,2018,1084,1
22/12/2020,97389,79304,439,111,2062,911,1
23/12/2020,98737,80014,444,102,1348,710,5
24/12/2020,100318,81099,446,102,1581,1085,2
25/12/2020,101565,82540,449,108,1247,1441,3
26/12/2020,103900,83414,451,108,2335,874,2
27/12/2020,105096,84411,452,111,1196,997,1
28/12/2020,106690,85592,455,116,1594,1181,3
29/12/2020,108615,86715,457,117,1925,1123,2
30/12/2020,110485,87460,463,131,1870,745,6
31/12/2020,113010,88941,471,131,2525,1481,8
1/1/2021,115078,91171,474,126,2068,2230,3
2/1/2021,117373,94492,483,125,2295,3321,9
3/1/2021,119077,97218,494,124,1704,2726,11
4/1/2021,120818,98228,501,122,1741,1010,7
5/1/2021,122845,99449,509,123,2027,1221,8
6/1/2021,125438,100578,513,141,2593,1129,4
7/1/2021,128465,102723,521,142,3027,2145,8
8/1/2021,131108,105431,537,170,2643,2708,16
9/1/2021,133559,106832,542,177,2451,1401,5
10/1/2021,135992,108109,551,171,2433,1277,9
11/1/2021,138224,109115,555,187,2232,1006,4
12/1/2021,141533,110584,559,190,3309,1469,4
13/01/2021,144518,111578,563,197,2985,994,4
14/01/2021,147855,113288,578,195,3337,1710,15
15/01/2021,151066,115227,586,204,3211,1939,8
